bigram,bigram_frequency
لعل و,3
کم نہیں,3
سر شیشہ,3
نہیں دیکھا,3
مت پوچھ,3
کرے گی,3
کے واسطے,3
اس رہگزر,3
کرے کوئی,3
کشمکش اندوہِ,3
ہے یار,3
نظر ہائے,3
زدہ تھا,3
گر نفس,3
شکایت کیجے,3
کے ہاتھ,3
دل دیکھ,3
تو ہم,3
ہر قطرہ,3
دفینہ گہر,3
ہے شب,3
ہے گر,3
بنا ہے,3
نہیں بے,3
کس منہ,3
دل اور,3
بھر نہیں,3
دل بے,3
ہے ہنوز,3
بند غم,3
تن کے,3
مرے مرنے,3
نہ مانگ,3
ہے ہوا,3
کے پار,3
تن میں,3
دل خوں,3
کا ہیں,3
خون جگر,3
گئی ہے,3
زخم نے,3
شوق کر,3
کلام میں,3
خوں کیا,3
زخم پر,3
ہجراں ہوا,3
خستہ کے,3
تو اور,3
مِرا رنگ,3
عشقِ نبرد,3
کام بند,3
کم جانتے,3
نہیں دینگے,3
دل لگا,3
وہ نہیں,3
کا ہر,3
آنکھوں سے,3
کے ہر,3
اس پہ,3
کے ہم,3
خونِ جگر,3
سخت مشکل,3
اس میں,3
کفن اسدِ,3
لیکن اس,3
کے ہے,3
شہر میں,3
کا ہو,3
ہے کیا,3
وہ ہر,3
شوق ہر,3
تمثال دار,3
خوں بہا,3
دشت میں,3
ہے ہر,3
موت کا,3
کبھی جو,3
تو کم,3
نظارہ ہے,3
سمجھتے ہیں,3
پریشاں نکلا,3
بساط ہے,3
مجھے چھوڑ,3
کر تو,3
نہ کچھ,3
ہے پر,3
میرا وگرنہ,3
ہے اقبال,3
آیا تھا,3
اب دیکھا,3
نہ کرنے,3
ہے پھر,3
نامہ بر,3
کے انداز,3
ہائے دراز,3
تو میں,3
نہ سکا,3
پایا ہے,3
مجھے دینا,3
کب تلک,3
زنجیر کا,3
کر اے,3
ہائے ہائے,3
بزم سے,3
پر اب,3
بچا کے,3
کو ملا,3
زیست کا,3
مجھے وہ,3
کو مگر,3
دبا یہ,3
دراز کا,3
درد کا,3
آیا بہ,3
کو دے,3
سمجھ میں,3
دلِ حسرت,3
بھی آساں,3
نظارہ سوز,3
تقاضا کہ,3
درد کام,3
آہ و,3
کا صرفہ,3
زندگی کا,3
گداز کا,3
ہے تقاضا,3
سمجھتا ہوں,3
پایا دل,3
اب میں,3
آہ میں,3
وگرنہ میں,3
نظر کا,3
پسند سخت,3
سرکش نہ,3
سنا ہے,3
خاک میں,3
یار تھا,3
کبھی گوش,3
لب و,3
تر سے,3
پایا سادگی,3
تصویر کے,3
پایا غنچہ,3
کو پر,3
پایا عشق,3
اب وہ,3
آساں نکلا,3
بو بھی,3
وہ خاک,3
افعی نہ,3
نہ رکھ,3
نہ کرسکے,3
ہے اپنے,3
ہائے ناز,3
ہے اک,3
حق نے,3
دریا سے,3
یار کو,3
نہیں وہ,3
کیا آج,2
کیا آبرو,2
نے مجھ,2
گا سارا,2
کے ہاتھوں,2
نکلا دلِ,2
شگفتنِ گل,2
گل نالٴہ,2
